feature_1,feature_2,correlation,correlation_i
user_he_count_answered_correctly,user_he_count_prior_question_elapsed_time,1.0,1.0
user_count_answered_correctly,user_count_prior_question_elapsed_time,1.0,1.0
content_part_count_answered_correctly,content_user_part_count_user_id,1.0,1.0
content_he_part_count_answered_correctly,content_user_he_part_count_user_id,1.0,1.0
content_he_count_answered_correctly,content_user_he_count_user_id,1.0,1.0
content_he_cl_count_answered_correctly,content_user_he_cl_count_user_id,1.0,1.0
content_count_answered_correctly,content_user_count_user_id,1.0,1.0
content_cl_count_answered_correctly,content_user_cl_count_user_id,1.0,1.0
content_cl_sum_answered_correctly,content_cl_count_answered_correctly,0.9995460483536305,0.9995460483536305
content_cl_sum_answered_correctly,content_user_cl_count_user_id,0.9995460483536305,0.9995460483536305
content_he_cl_sum_answered_correctly,content_he_cl_count_answered_correctly,0.9992242336923342,0.9992242336923342
content_he_cl_sum_answered_correctly,content_user_he_cl_count_user_id,0.9992242336923342,0.9992242336923342
rel_content_part_mean_answ,rel_content_cl_mean_answ,0.9985945159788104,0.9985945159788104
content_part_sum_answered_correctly,content_part_count_answered_correctly,0.9975326428751398,0.9975326428751398
content_part_sum_answered_correctly,content_user_part_count_user_id,0.9975326428751398,0.9975326428751398
content_he_part_sum_answered_correctly,content_he_part_count_answered_correctly,0.9974725272385832,0.9974725272385832
content_he_part_sum_answered_correctly,content_user_he_part_count_user_id,0.9974725272385832,0.9974725272385832
rel_content_he_part_mean_answ,rel_content_he_cl_mean_answ,0.9921192233801012,0.9921192233801012
mul_user_content_he_mean_answ,mul_user_content_he_ema_answ,0.9912175861053931,0.9912175861053931
user_sum_answered_correctly,user_count_answered_correctly,0.9900448496448061,0.9900448496448061
user_sum_answered_correctly,user_count_prior_question_elapsed_time,0.9900448496448061,0.9900448496448061
user_he_sum_answered_correctly,user_he_count_answered_correctly,0.9899533767600531,0.9899533767600531
user_he_sum_answered_correctly,user_he_count_prior_question_elapsed_time,0.9899533767600531,0.9899533767600531
mul_user_content_mean_answ,mul_user_content_ema_answ,0.989273582236079,0.989273582236079
rel_user_content_mean_answ,rel_user_content_ema_answ,0.9887972727195155,0.9887972727195155
user_he_count_answered_correctly,user_count_prior_question_elapsed_time,0.9882623656614106,0.9882623656614106
user_count_prior_question_elapsed_time,user_he_count_prior_question_elapsed_time,0.9882623656614106,0.9882623656614106
user_count_answered_correctly,user_he_count_answered_correctly,0.9882623656614106,0.9882623656614106
user_count_answered_correctly,user_he_count_prior_question_elapsed_time,0.9882623656614106,0.9882623656614106
user_sum_answered_correctly,user_he_sum_answered_correctly,0.9881659703176774,0.9881659703176774
rel_user_content_he_mean_answ,rel_user_content_he_ema_answ,0.9879331457245771,0.9879331457245771
user_sum_prior_question_elapsed_time,user_he_sum_prior_question_elapsed_time,0.9870221722047745,0.9870221722047745
content_mean_answered_correctly,content_he_mean_answered_correctly,0.98221951730682,0.98221951730682
user_he_mean_answered_correctly,user_he_ema_answered_correctly,0.9813538593024854,0.9813538593024854
