feature_1,feature_2,correlation,correlation_i
user_he_count_answered_correctly,user_he_count_prior_question_elapsed_time,1.0,1.0
user_count_answered_correctly,user_count_prior_question_elapsed_time,1.0,1.0
content_part_count_answered_correctly,content_user_part_count_user_id,1.0,1.0
content_he_part_count_answered_correctly,content_user_he_part_count_user_id,1.0,1.0
content_he_count_answered_correctly,content_user_he_count_user_id,1.0,1.0
content_he_cl_count_answered_correctly,content_user_he_cl_count_user_id,1.0,1.0
content_count_answered_correctly,content_user_count_user_id,1.0,1.0
content_cl_count_answered_correctly,content_user_cl_count_user_id,1.0,1.0
content_cl_sum_answered_correctly,content_cl_count_answered_correctly,0.9995676089713086,0.9995676089713086
content_cl_sum_answered_correctly,content_user_cl_count_user_id,0.9995676089713086,0.9995676089713086
content_he_cl_sum_answered_correctly,content_he_cl_count_answered_correctly,0.9993774966795457,0.9993774966795457
content_he_cl_sum_answered_correctly,content_user_he_cl_count_user_id,0.9993774966795457,0.9993774966795457
rel_content_part_mean_answ,rel_content_cl_mean_answ,0.9982734852150527,0.9982734852150527
content_he_part_sum_answered_correctly,content_he_part_count_answered_correctly,0.9976352096835127,0.9976352096835127
content_he_part_sum_answered_correctly,content_user_he_part_count_user_id,0.9976352096835127,0.9976352096835127
content_part_sum_answered_correctly,content_part_count_answered_correctly,0.9975725462179436,0.9975725462179436
content_part_sum_answered_correctly,content_user_part_count_user_id,0.9975725462179436,0.9975725462179436
rel_content_he_part_mean_answ,rel_content_he_cl_mean_answ,0.990107375412098,0.990107375412098
user_sum_answered_correctly,user_count_answered_correctly,0.990094376698227,0.990094376698227
user_sum_answered_correctly,user_count_prior_question_elapsed_time,0.990094376698227,0.990094376698227
user_he_sum_answered_correctly,user_he_count_answered_correctly,0.9900151706284273,0.9900151706284273
user_he_sum_answered_correctly,user_he_count_prior_question_elapsed_time,0.9900151706284273,0.9900151706284273
user_he_count_answered_correctly,user_count_prior_question_elapsed_time,0.9869233750284957,0.9869233750284957
user_count_prior_question_elapsed_time,user_he_count_prior_question_elapsed_time,0.9869233750284957,0.9869233750284957
user_count_answered_correctly,user_he_count_answered_correctly,0.9869233750284957,0.9869233750284957
user_count_answered_correctly,user_he_count_prior_question_elapsed_time,0.9869233750284957,0.9869233750284957
mul_user_content_he_mean_answ,mul_user_content_he_ema_answ,0.9868705457446587,0.9868705457446587
user_sum_answered_correctly,user_he_sum_answered_correctly,0.9868144499732504,0.9868144499732504
user_sum_prior_question_elapsed_time,user_he_sum_prior_question_elapsed_time,0.9855381758924829,0.9855381758924829
content_mean_answered_correctly,content_he_mean_answered_correctly,0.985055321393075,0.985055321393075
mul_user_content_mean_answ,mul_user_content_ema_answ,0.9849471076641496,0.9849471076641496
rel_user_content_mean_answ,rel_user_content_ema_answ,0.9845948532341259,0.9845948532341259
rel_user_content_he_mean_answ,rel_user_content_he_ema_answ,0.9839045716489196,0.9839045716489196
user_he_sum_answered_correctly,user_count_prior_question_elapsed_time,0.9777122659833819,0.9777122659833819
user_count_answered_correctly,user_he_sum_answered_correctly,0.9777122659833819,0.9777122659833819
