feature_1,feature_2,correlation,correlation_i
user_he_count_answered_correctly,user_he_count_prior_question_elapsed_time,1.0,1.0
user_count_answered_correctly,user_count_prior_question_elapsed_time,1.0,1.0
content_part_count_answered_correctly,content_user_part_count_user_id,1.0,1.0
content_he_part_count_answered_correctly,content_user_he_part_count_user_id,1.0,1.0
content_he_count_answered_correctly,content_user_he_count_user_id,1.0,1.0
content_he_cl_count_answered_correctly,content_user_he_cl_count_user_id,1.0,1.0
content_count_answered_correctly,content_user_count_user_id,1.0,1.0
content_cl_count_answered_correctly,content_user_cl_count_user_id,1.0,1.0
content_cl_sum_answered_correctly,content_cl_count_answered_correctly,0.9995316865929622,0.9995316865929622
content_cl_sum_answered_correctly,content_user_cl_count_user_id,0.9995316865929622,0.9995316865929622
content_he_cl_sum_answered_correctly,content_he_cl_count_answered_correctly,0.9994543678457524,0.9994543678457524
content_he_cl_sum_answered_correctly,content_user_he_cl_count_user_id,0.9994543678457524,0.9994543678457524
content_he_part_sum_answered_correctly,content_he_part_count_answered_correctly,0.997777719334426,0.997777719334426
content_he_part_sum_answered_correctly,content_user_he_part_count_user_id,0.997777719334426,0.997777719334426
content_part_sum_answered_correctly,content_part_count_answered_correctly,0.9976960472415511,0.9976960472415511
content_part_sum_answered_correctly,content_user_part_count_user_id,0.9976960472415511,0.9976960472415511
rel_user_content_mean_answ,rel_user_content_ema_answ,0.9975888431509421,0.9975888431509421
mul_user_content_mean_answ,mul_user_content_ema_answ,0.997171894271352,0.997171894271352
mul_user_content_he_mean_answ,mul_user_content_he_ema_answ,0.9970297348413819,0.9970297348413819
rel_content_part_mean_answ,rel_content_cl_mean_answ,0.9967787306796494,0.9967787306796494
rel_user_content_he_mean_answ,rel_user_content_he_ema_answ,0.9960721299755517,0.9960721299755517
rel_content_he_part_mean_answ,rel_content_he_cl_mean_answ,0.9934449006961589,0.9934449006961589
user_mean_answered_correctly,user_ema_answered_correctly,0.9918593036190335,0.9918593036190335
content_mean_answered_correctly,content_he_mean_answered_correctly,0.9906669326678604,0.9906669326678604
user_he_mean_answered_correctly,user_he_ema_answered_correctly,0.9905627775957201,0.9905627775957201
user_he_count_answered_correctly,user_count_prior_question_elapsed_time,0.9887299194181319,0.9887299194181319
user_count_prior_question_elapsed_time,user_he_count_prior_question_elapsed_time,0.9887299194181319,0.9887299194181319
user_count_answered_correctly,user_he_count_answered_correctly,0.9887299194181319,0.9887299194181319
user_count_answered_correctly,user_he_count_prior_question_elapsed_time,0.9887299194181319,0.9887299194181319
user_sum_answered_correctly,user_he_sum_answered_correctly,0.9886838974178158,0.9886838974178158
user_sum_prior_question_elapsed_time,user_he_sum_prior_question_elapsed_time,0.9878489480518525,0.9878489480518525
user_sum_answered_correctly,user_count_answered_correctly,0.9878224678470217,0.9878224678470217
user_sum_answered_correctly,user_count_prior_question_elapsed_time,0.9878224678470217,0.9878224678470217
user_he_sum_answered_correctly,user_he_count_answered_correctly,0.9876806015767571,0.9876806015767571
user_he_sum_answered_correctly,user_he_count_prior_question_elapsed_time,0.9876806015767571,0.9876806015767571
